STATNAME,Total Literacy Rate,High or Low,Primary Schools,Upper Primary with secondary,Primary School(Government),Upper Primary with Secondary(government),Primary School(private),Upper primary with secondary(private),Primary School(Schools approachabe by all weather road),Upper primary with secondary(Schools approachabe by all weather road),Primary Schools(with electricity),Upper primary with secondary(with electricity),Primary schools(need minor repairs),Upper primary with secondary(need minor repair),Primary schools(need major repair),Upper primary with secondary(need major repair)
JAMMU & KASHMIR,66.92,Low,1107,49,980,49,127,0,836,41,44,25,877,85,199,22
JAMMU & KASHMIR,66.93,Low,1215,69,1108,69,107,0,1052,65,278,57,970,83,400,28
JAMMU & KASHMIR,71.21,Low,258,9,203,9,55,0,248,9,96,8,76,7,0,0
JAMMU & KASHMIR,57.98,Low,755,57,697,57,56,0,735,56,70,25,416,49,194,30
JAMMU & KASHMIR,65,Low,532,43,497,43,35,0,486,42,29,35,378,49,161,9
JAMMU & KASHMIR,64.32,Low,779,48,691,48,88,0,698,47,52,43,473,48,154,18
JAMMU & KASHMIR,80.48,High,176,0,144,0,32,0,159,0,30,0,196,0,34,0
JAMMU & KASHMIR,74.49,High,229,28,213,27,16,1,210,27,4,7,205,41,59,1
JAMMU & KASHMIR,65.97,Low,756,8,656,8,100,0,578,8,51,6,294,8,123,2
JAMMU & KASHMIR,69.9,Low,983,3,906,3,77,0,516,3,146,3,262,2,156,0
JAMMU & KASHMIR,68.69,Low,1037,4,930,4,107,0,523,4,57,4,357,0,253,0
JAMMU & KASHMIR,68.54,Low,1112,4,999,4,113,0,662,4,136,2,350,5,214,3
JAMMU & KASHMIR,83.98,High,1078,8,948,8,130,0,914,8,387,4,345,19,151,1
JAMMU & KASHMIR,73.5,High,989,4,900,4,89,0,689,1,177,2,361,3,100,3
JAMMU & KASHMIR,62.49,Low,349,13,314,13,35,0,328,13,51,12,175,0,58,2
JAMMU & KASHMIR,57.82,Low,401,26,389,26,12,0,367,26,11,25,342,31,64,1
JAMMU & KASHMIR,58.54,Low,470,3,420,3,50,0,318,3,34,0,261,1,85,3
JAMMU & KASHMIR,56.9,Low,554,1,503,1,51,0,343,1,158,1,203,0,120,0
JAMMU & KASHMIR,59.99,Low,372,12,344,12,28,0,332,12,28,12,167,7,60,9
JAMMU & KASHMIR,60.35,Low,424,24,356,24,68,0,299,20,30,16,198,10,55,13
JAMMU & KASHMIR,59.42,Low,711,0,684,0,27,0,222,0,79,0,253,0,136,0
JAMMU & KASHMIR,82.48,High,317,1,284,1,33,0,257,1,194,1,152,3,60,2
HIMACHAL PRADESH,73.19,Low,1222,80,1166,80,56,0,752,49,1062,78,716,40,637,20
HIMACHAL PRADESH,86.49,High,1806,183,1707,183,99,0,1554,167,1771,182,858,113,925,35
HIMACHAL PRADESH,77.24,High,201,10,198,10,3,0,128,3,112,8,51,12,34,1
HIMACHAL PRADESH,80.14,High,786,50,754,50,32,0,468,34,581,49,617,47,320,18
HIMACHAL PRADESH,82.81,High,1814,115,1733,113,81,2,1257,95,1787,115,1052,50,753,16
HIMACHAL PRADESH,89.01,High,534,64,489,63,45,1,494,63,534,64,196,31,172,5
HIMACHAL PRADESH,87.23,High,519,49,500,48,18,1,466,49,518,49,263,24,199,9
HIMACHAL PRADESH,85.67,High,643,47,591,47,52,0,520,44,637,47,451,39,322,17
HIMACHAL PRADESH,85.02,High,833,58,766,58,67,0,701,53,815,58,427,40,411,22
HIMACHAL PRADESH,79.98,High,1055,85,1022,85,33,0,714,61,907,83,650,74,610,25
HIMACHAL PRADESH,84.55,High,1713,124,1607,124,106,0,1710,124,1178,107,1347,86,967,52
HIMACHAL PRADESH,80.77,High,201,19,183,19,18,0,196,18,195,19,147,12,59,0
PUNJAB,81.06,High,1206,106,1113,102,85,4,1199,106,1206,106,758,71,56,0
PUNJAB,77.2,High,1026,126,996,122,18,4,1012,126,1026,126,419,44,112,6
PUNJAB,80.18,High,572,76,539,74,33,2,568,75,572,76,197,19,79,19
PUNJAB,82.4,High,1119,129,992,116,9,9,1117,129,1119,129,254,18,239,10
PUNJAB,85.43,High,1322,146,1254,143,66,3,1322,146,1317,146,486,33,201,10
PUNJAB,80.33,High,438,60,424,54,14,6,436,60,438,60,57,2,46,7
PUNJAB,83.28,High,581,65,559,61,4,3,578,64,581,65,367,15,36,3
PUNJAB,80.33,High,469,44,448,44,2,0,469,44,469,44,87,4,88,8
PUNJAB,82.54,High,1194,170,1036,168,156,2,1184,170,1194,170,245,22,276,27
PUNJAB,71.59,Low,381,78,362,78,19,0,381,78,381,78,158,26,135,12
PUNJAB,69.85,Low,655,70,627,70,28,0,654,70,653,70,231,14,429,46
PUNJAB,66.79,Low,376,64,332,64,44,0,374,64,376,64,16,1,90,13
PUNJAB,70.65,Low,275,47,248,47,27,0,275,47,275,47,133,10,104,17
PUNJAB,69.57,Low,439,83,397,83,42,0,439,83,439,83,130,16,34,7
PUNJAB,62.78,Low,309,69,297,69,10,0,309,69,309,69,104,14,35,0
PUNJAB,68.88,Low,746,106,668,106,69,0,746,106,746,106,178,31,50,9
PUNJAB,76.26,High,1054,98,961,98,92,0,1054,98,1054,98,468,53,613,47
PUNJAB,84.87,High,482,63,444,63,38,0,474,63,481,63,163,26,267,44
PUNJAB,69.43,Low,577,111,516,110,54,1,577,111,577,111,323,37,286,36
PUNJAB,68.9,Low,200,50,186,50,14,0,200,50,200,50,72,0,11,11
PUNJAB,73.39,Low,543,73,469,72,73,1,542,73,543,73,153,10,60,13
PUNJAB,73.39,Low,407,35,382,35,24,0,407,35,405,35,252,31,21,0
CHANDIGARH,86.43,High,12,0,7,0,4,0,12,0,12,0,0,0,2,0
UTTARAKHAND,75.98,High,924,7,771,4,151,3,554,7,518,5,443,2,411,2
UTTARAKHAND,83.48,High,1093,88,972,84,108,4,788,58,272,59,504,81,793,39
UTTARAKHAND,82.09,High,672,35,569,25,103,10,567,27,455,29,242,23,360,15
UTTARAKHAND,75.1,High,1702,52,1476,47,215,5,1240,34,1025,43,728,37,1012,27
UTTARAKHAND,85.24,High,1381,56,962,50,397,6,1050,34,1200,51,710,54,770,40
UTTARAKHAND,82.59,High,1814,135,1647,121,167,14,1188,83,1026,110,812,132,1002,145
UTTARAKHAND,82.93,High,1356,95,1190,89,124,6,1004,62,474,69,666,65,1019,106
UTTARAKHAND,80.69,High,711,41,604,33,105,8,467,19,489,34,381,36,497,30
UTTARAKHAND,81.06,High,1598,116,1412,100,172,16,1007,71,811,94,715,80,1134,88
UTTARAKHAND,80.73,High,586,50,510,44,76,6,421,39,275,40,287,43,403,35
UTTARAKHAND,84.85,High,1252,83,985,77,255,6,1005,63,969,76,573,66,596,55
UTTARAKHAND,74.44,High,1272,91,810,69,412,21,1199,83,1124,88,603,74,575,47
UTTARAKHAND,74.62,High,1136,46,691,40,369,6,1061,38,958,38,728,40,417,21
HARYANA,83.44,High,301,23,275,23,24,0,268,23,274,23,175,7,176,27
HARYANA,82.89,High,547,78,489,74,40,4,542,78,547,78,220,33,184,8
HARYANA,78.93,High,638,59,611,58,21,1,622,58,617,59,312,41,180,22
HARYANA,76.7,High,549,52,497,49,18,3,546,52,549,52,267,42,169,17
HARYANA,70.56,Low,439,53,379,53,46,0,434,53,418,52,347,56,213,14
HARYANA,76.44,High,607,82,496,79,27,3,600,82,575,81,254,33,226,25
HARYANA,77.46,High,288,32,247,31,28,1,286,32,278,32,199,11,169,3
HARYANA,80.83,High,536,83,434,83,76,0,530,82,533,83,268,41,332,48
HARYANA,72.73,Low,474,114,436,113,35,1,458,109,463,112,334,59,211,45
HARYANA,69.13,Low,461,71,391,71,21,0,450,70,458,71,155,22,178,21
HARYANA,70.35,Low,594,96,533,96,34,0,579,95,584,96,283,70,182,32
HARYANA,73.24,Low,587,154,515,138,24,16,575,149,580,154,252,49,334,83
HARYANA,76.74,High,737,136,674,133,60,3,713,136,710,134,334,56,353,49
HARYANA,80.37,High,274,56,230,45,33,11,273,56,274,56,111,14,125,11
HARYANA,80.83,High,357,48,307,46,44,2,355,48,353,48,183,24,257,17
HARYANA,78.87,High,521,52,500,51,12,1,488,50,481,51,324,27,266,18
HARYANA,82.23,High,466,62,412,60,41,2,456,61,450,62,201,17,178,10
HARYANA,84.44,High,424,50,383,49,38,1,419,48,414,50,178,5,116,6
HARYANA,83.04,High,295,39,240,38,55,1,290,39,277,38,157,35,150,23
HARYANA,56.14,Low,500,45,493,45,5,0,466,44,447,42,426,26,427,15
